NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,total_points
Lid31,95,5.11,85,8.32,95,7.16,85,88.0,360
Lid2,85,10.3,95,7.02,80,11.09,90,95.0,350
Lid32,80,10.6,75,14.12,100,5.27,95,114.0,350
Lid7,100,5.06,70,15.16,75,11.39,80,84.0,325
Lid30,60,20.33,90,8.12,65,16.42,100,120.0,315
Lid42,65,15.11,100,6.31,85,9.44,60,71.0,310
Lid27,70,12.53,65,16.31,90,8.05,75,80.0,300
Lid18,75,11.51,80,11.33,70,15.6,70,77.0,295
Lid25,90,10.17,60,17.53,60,19.17,65,75.0,275
